Agent,Fitness,Move
13,31.0,1
Round:  and 414
9,52.0,1
14,25.0,1
Round:  and 415
9,57.0,1
15,22.0,0
Round:  and 416
9,59.0,1
16,31.0,1
Round:  and 417
9,64.0,1
17,22.0,0
Round:  and 418
9,69.0,1
18,16.0,0
Round:  and 419
9,71.0,1
19,31.0,1
Round:  and 420
9,76.0,1
20,16.0,0
Round:  and 421
9,78.0,1
21,31.0,1
Round:  and 422
9,83.0,1
22,16.0,0
Round:  and 423
9,85.0,1
23,31.0,1
Round:  and 424
9,87.0,1
24,23.0,1
Round:  and 425
9,92.0,1
25,24.0,0
Round:  and 426
9,97.0,1
26,16.0,0
Round:  and 427
9,99.0,1
27,25.0,1
Round:  and 428
9,104.0,1
28,24.0,0
Round:  and 429
9,106.0,1
29,23.0,1
Round:  and 430
9,111.0,1
30,24.0,0
Round:  and 431
9,116.0,1
31,16.0,0
Round:  and 432
9,118.0,1
32,31.0,1
Round:  and 433
9,123.0,1
33,24.0,0
Round:  and 434
9,125.0,1
34,31.0,1
Round:  and 435
9,127.0,1
35,25.0,1
Round:  and 436
9,129.0,1
36,31.0,1
Round:  and 437
9,134.0,1
37,16.0,0
Round:  and 438
9,139.0,1
38,16.0,0
Round:  and 439
9,141.0,1
39,31.0,1
Round:  and 440
9,143.0,1
40,31.0,1
Round:  and 441
9,148.0,1
41,16.0,0
Round:  and 442
9,153.0,1
42,16.0,0
Round:  and 443
9,158.0,1
43,24.0,0
Round:  and 444
9,163.0,1
44,16.0,0
Round:  and 445
9,168.0,1
45,16.0,0
Round:  and 446
9,173.0,1
46,24.0,0
Round:  and 447
9,178.0,1
47,16.0,0
Round:  and 448
9,183.0,1
48,24.0,0
Round:  and 449
9,185.0,1
49,31.0,1
Round:  and 450
9,187.0,1
50,25.0,1
Round:  and 451
10,7.0,0
1,85.0,0
Round:  and 452
10,7.0,0
2,102.0,1
Round:  and 453
10,7.0,0
3,203.0,1
Round:  and 454
10,7.0,0
4,205.0,1
Round:  and 455
10,10.0,0
5,82.0,0
Round:  and 456
10,10.0,0
6,198.0,1
Round:  and 457
10,13.0,0
7,117.0,0
Round:  and 458
10,13.0,0
8,194.0,1
Round:  and 459
10,13.0,0
9,192.0,1
Round:  and 460
10,19.0,0
10,19.0,0
Round:  and 461
10,22.0,0
11,21.0,0
Round:  and 462
10,22.0,0
12,29.0,1
Round:  and 463
10,22.0,0
13,36.0,1
Round:  and 464
10,25.0,0
14,28.0,0
Round:  and 465
10,25.0,0
15,27.0,1
Round:  and 466
10,25.0,0
16,36.0,1
Round:  and 467
10,25.0,0
17,27.0,1
