Agent,Fitness,Move
25,24,cooperate
Generation: 20
19,16,defect
17,26,defect
Generation: 20
45,42,defect
42,29,defect
Generation: 20
18,25,defect
46,18,defect
Generation: 20
49,27,defect
4,16,cooperate
Generation: 20
20,47,cooperate
12,27,cooperate
Generation: 20
16,27,defect
7,27,defect
Generation: 20
22,22,defect
41,21,cooperate
Generation: 20
33,18,defect
1,32,defect
Generation: 20
27,18,defect
30,33,cooperate
Generation: 20
13,28,cooperate
9,20,defect
Generation: 20
35,39,defect
2,30,defect
Generation: 20
47,17,cooperate
10,19,cooperate
Generation: 20
38,30,defect
15,22,defect
Generation: 20
8,26,cooperate
21,27,cooperate
Generation: 20
37,29,defect
36,19,defect
Generation: 20
0,25,cooperate
24,35,defect
Generation: 20
34,25,defect
40,30,defect
Generation: 20
48,33,defect
5,31,defect
Generation: 20
31,34,defect
29,12,defect
Generation: 20
39,35,defect
6,27,defect
Generation: 20
23,22,defect
26,18,defect
Generation: 20
43,25,defect
44,26,cooperate
Generation: 20
28,33,cooperate
14,27,defect
Generation: 21
32,26,defect
30,33,defect
Generation: 21
20,50,defect
3,35,defect
Generation: 21
21,27,defect
4,16,cooperate
Generation: 21
26,18,defect
28,33,defect
Generation: 21
38,32,cooperate
27,23,cooperate
Generation: 21
42,29,defect
35,41,defect
Generation: 21
10,19,defect
9,20,cooperate
Generation: 21
22,27,cooperate
0,25,defect
Generation: 21
8,29,defect
49,32,defect
Generation: 21
47,20,defect
31,36,cooperate
Generation: 21
33,20,cooperate
24,35,cooperate
Generation: 21
19,18,defect
6,27,defect
Generation: 21
39,37,defect
43,30,defect
Generation: 21
23,24,defect
36,19,defect
Generation: 21
40,30,defect
7,27,cooperate
Generation: 21
25,24,defect
46,18,defect
Generation: 21
37,31,defect
13,28,defect
Generation: 21
1,32,defect
48,35,defect
Generation: 21
41,21,cooperate
12,27,cooperate
Generation: 21
2,30,cooperate
17,26,defect
Generation: 21
15,22,defect
18,27,defect
Generation: 21
14,27,defect
5,31,cooperate
Generation: 21
29,12,cooperate
11,29,cooperate
Generation: 21
16,29,defect
45,44,cooperate
Generation: 21
44,26,defect
34,27,cooperate
Generation: 22
9,20,defect
15,24,defect
Generation: 22
7,27,cooperate
47,25,cooperate
Generation: 22
18,27,cooperate
22,27,cooperate
Generation: 22
45,44,cooperate
11,29,cooperate
Generation: 22
17,26,defect
4,16,cooperate
Generation: 22
14,32,defect
12,27,defect
Generation: 22
43,30,defect
40,35,cooperate
Generation: 22
13,28,cooperate
23,26,cooperate
Generation: 22
10,24,cooperate
49,32,cooperate
Generation: 22
34,27,defect
48,35,defect
Generation: 22
1,34,defect
8,31,defect
Generation: 22
37,33,defect
24,35,defect
Generation: 22
41,24,defect
29,15,defect
Generation: 22
31,36,cooperate
38,35,defect
Generation: 22
20,52,defect
30,33,defect
Generation: 22
32,28,defect
27,23,defect
Generation: 22
46,18,defect
33,23,defect
Generation: 22
39,39,defect
3,35,defect
Generation: 22
16,34,defect
2,30,defect
Generation: 22
26,20,defect
28,33,defect
Generation: 22
42,31,defect
21,32,defect
Generation: 22
0,25,defect
35,41,defect
Generation: 22
5,31,cooperate
19,20,cooperate
Generation: 22
6,27,defect
25,26,defect
Generation: 22
44,31,defect
36,19,defect
Generation: 23
44,33,defect
17,31,defect
Generation: 23
8,31,defect
6,29,defect
Generation: 23
37,35,defect
19,20,cooperate
Generation: 23
36,19,defect
42,33,defect
Generation: 23
26,22,defect
43,35,defect
Generation: 23
39,41,defect
31,36,defect
Generation: 23
14,34,cooperate
4,16,defect
Generation: 23
10,27,defect
40,35,cooperate
Generation: 23
1,36,cooperate
29,15,defect
Generation: 23
11,29,defect
22,27,defect
Generation: 23
9,22,cooperate
47,25,cooperate
Generation: 23
48,35,defect
35,41,cooperate
Generation: 23
32,30,cooperate
18,30,defect
Generation: 23
25,26,defect
7,30,cooperate
Generation: 23
45,47,cooperate
46,20,cooperate
Generation: 23
23,26,defect
41,26,defect
Generation: 23
3,35,cooperate
38,35,defect
Generation: 23
0,27,defect
33,23,defect
Generation: 23
27,23,defect
24,35,defect
Generation: 23
20,54,defect
30,33,defect
Generation: 23
16,36,defect
49,32,defect
Generation: 23
2,30,defect
28,33,defect
Generation: 23
12,27,defect
5,34,cooperate
Generation: 23
21,32,cooperate
34,29,cooperate
Generation: 23
13,31,cooperate
15,24,cooperate
Generation: 24
4,16,cooperate
12,32,cooperate
Generation: 24
10,32,cooperate
34,29,defect
Generation: 24
21,35,defect
48,40,defect
Generation: 24
9,25,defect
37,40,defect
Generation: 24
36,21,defect
18,30,defect
Generation: 24
1,36,defect
27,25,defect
Generation: 24
3,35,defect
40,35,cooperate
Generation: 24
26,24,cooperate
6,29,defect
Generation: 24
14,34,defect
15,24,defect
Generation: 24
23,28,cooperate
49,32,cooperate
Generation: 24
19,20,cooperate
42,33,defect
Generation: 24
29,15,defect
11,31,defect
Generation: 24
44,35,defect
20,56,defect
Generation: 24
22,27,defect
35,41,cooperate
Generation: 24
28,33,cooperate
8,33,defect
Generation: 24
24,35,cooperate
13,34,cooperate
Generation: 24
33,23,defect
16,38,defect
Generation: 24
17,31,cooperate
25,31,cooperate
Generation: 24
47,25,defect
45,50,defect
Generation: 24
38,35,defect
0,29,defect
Generation: 24
46,20,defect
31,36,cooperate
Generation: 24
41,26,defect
32,30,defect
Generation: 24
5,34,cooperate
2,32,cooperate
Generation: 24
39,43,cooperate
30,33,defect
Generation: 24
7,30,cooperate
43,35,cooperate
Generation: 25
25,31,cooperate
6,29,defect
Generation: 25
17,34,cooperate
19,20,cooperate
Generation: 25
22,32,cooperate
21,37,cooperate
Generation: 25
38,37,cooperate
45,50,defect
Generation: 25
14,36,defect
46,25,defect
Generation: 25
5,37,cooperate
31,36,cooperate
Generation: 25
24,38,cooperate
26,24,defect
Generation: 25
9,27,defect
18,30,defect
Generation: 25
34,29,defect
49,32,defect
Generation: 25
10,32,defect
4,19,defect
Generation: 25
1,38,defect
47,27,cooperate
Generation: 25
33,25,defect
32,30,defect
Generation: 25
39,43,defect
48,40,defect
Generation: 25
35,41,defect
11,31,defect
Generation: 25
13,34,defect
23,31,cooperate
Generation: 25
28,33,cooperate
7,33,cooperate
Generation: 25
27,25,cooperate
43,35,cooperate
Generation: 25
40,35,cooperate
2,32,cooperate
Generation: 25
15,24,cooperate
20,56,cooperate
Generation: 25
3,40,defect
12,32,defect
Generation: 25
36,23,cooperate
29,17,defect
Generation: 25
37,40,defect
42,33,cooperate
Generation: 25
